月份,收入项,收入金额,支出项,支出金额,支出分类
1月,工资收入,0,房租/房贷,0,住房
1月,兼职收入,0,餐饮外卖,0,餐饮
1月,投资收益,0,交通出行,0,交通
1月,其他收入,0,购物消费,0,购物
1月,,,娱乐休闲,0,娱乐
1月,,,其他支出,0,其他
1月,收入合计,=SUM(C2:C5),支出合计,=SUM(E2:E7),
1月,月度结余,,=C8-E8,,
2月,工资收入,0,房租/房贷,0,住房
2月,兼职收入,0,餐饮外卖,0,餐饮
2月,投资收益,0,交通出行,0,交通
2月,其他收入,0,购物消费,0,购物
2月,,,娱乐休闲,0,娱乐
2月,,,其他支出,0,其他
2月,收入合计,=SUM(C10:C13),支出合计,=SUM(E10:E15),
2月,月度结余,,=C16-E16,,
3月,工资收入,0,房租/房贷,0,住房
3月,兼职收入,0,餐饮外卖,0,餐饮
3月,投资收益,0,交通出行,0,交通
3月,其他收入,0,购物消费,0,购物
3月,,,娱乐休闲,0,娱乐
3月,,,其他支出,0,其他
3月,收入合计,=SUM(C18:C21),支出合计,=SUM(E18:E23),
3月,月度结余,,=C24-E24,,
4月,工资收入,0,房租/房贷,0,住房
4月,兼职收入,0,餐饮外卖,0,餐饮
4月,投资收益,0,交通出行,0,交通
4月,其他收入,0,购物消费,0,购物
4月,,,娱乐休闲,0,娱乐
4月,,,其他支出,0,其他
4月,收入合计,=SUM(C26:C29),支出合计,=SUM(E26:E31),
4月,月度结余,,=C32-E32,,
5月,工资收入,0,房租/房贷,0,住房
5月,兼职收入,0,餐饮外卖,0,餐饮
5月,投资收益,0,交通出行,0,交通
5月,其他收入,0,购物消费,0,购物
5月,,,娱乐休闲,0,娱乐
5月,,,其他支出,0,其他
5月,收入合计,=SUM(C34:C37),支出合计,=SUM(E34:E39),
5月,月度结余,,=C40-E40,,
6月,工资收入,0,房租/房贷,0,住房
6月,兼职收入,0,餐饮外卖,0,餐饮
6月,投资收益,0,交通出行,0,交通
6月,其他收入,0,购物消费,0,购物
6月,,,娱乐休闲,0,娱乐
6月,,,其他支出,0,其他
6月,收入合计,=SUM(C42:C45),支出合计,=SUM(E42:E47),
6月,月度结余,,=C48-E48,,
7月,工资收入,0,房租/房贷,0,住房
7月,兼职收入,0,餐饮外卖,0,餐饮
7月,投资收益,0,交通出行,0,交通
7月,其他收入,0,购物消费,0,购物
7月,,,娱乐休闲,0,娱乐
7月,,,其他支出,0,其他
7月,收入合计,=SUM(C50:C53),支出合计,=SUM(E50:E55),
7月,月度结余,,=C56-E56,,
8月,工资收入,0,房租/房贷,0,住房
8月,兼职收入,0,餐饮外卖,0,餐饮
8月,投资收益,0,交通出行,0,交通
8月,其他收入,0,购物消费,0,购物
8月,,,娱乐休闲,0,娱乐
8月,,,其他支出,0,其他
8月,收入合计,=SUM(C58:C61),支出合计,=SUM(E58:E63),
8月,月度结余,,=C64-E64,,
9月,工资收入,0,房租/房贷,0,住房
9月,兼职收入,0,餐饮外卖,0,餐饮
9月,投资收益,0,交通出行,0,交通
9月,其他收入,0,购物消费,0,购物
9月,,,娱乐休闲,0,娱乐
9月,,,其他支出,0,其他
9月,收入合计,=SUM(C66:C69),支出合计,=SUM(E66:E71),
9月,月度结余,,=C72-E72,,
10月,工资收入,0,房租/房贷,0,住房
10月,兼职收入,0,餐饮外卖,0,餐饮
10月,投资收益,0,交通出行,0,交通
10月,其他收入,0,购物消费,0,购物
10月,,,娱乐休闲,0,娱乐
10月,,,其他支出,0,其他
10月,收入合计,=SUM(C74:C77),支出合计,=SUM(E74:E79),
10月,月度结余,,=C80-E80,,
11月,工资收入,0,房租/房贷,0,住房
11月,兼职收入,0,餐饮外卖,0,餐饮
11月,投资收益,0,交通出行,0,交通
11月,其他收入,0,购物消费,0,购物
11月,,,娱乐休闲,0,娱乐
11月,,,其他支出,0,其他
11月,收入合计,=SUM(C82:C85),支出合计,=SUM(E82:E87),
11月,月度结余,,=C88-E88,,
12月,工资收入,0,房租/房贷,0,住房
12月,兼职收入,0,餐饮外卖,0,餐饮
12月,投资收益,0,交通出行,0,交通
12月,其他收入,0,购物消费,0,购物
12月,,,娱乐休闲,0,娱乐
12月,,,其他支出,0,其他
12月,收入合计,=SUM(C90:C93),支出合计,=SUM(E90:E95),
12月,月度结余,,=C96-E96,,
全年汇总,总收入,=C8+C16+C24+C32+C40+C48+C56+C64+C72+C80+C88+C96,总支出,=E8+E16+E24+E32+E40+E48+E56+E64+E72+E80+E88+E96,
全年汇总,年度结余,,=C98-E98,,
